<<<<<<< Updated upstream
 -0.77362748728953346      -0.63364067965218496      -0.75168758318776430       -1.6333999709858564     
 -0.78848044897600300      -0.61505981951563116      -0.86030990114673356       -1.6124767482875728     
 -0.79650179537695520      -0.60463616329267555      -0.96468537629322448       -1.5903918546838947     
 -0.79799351460622459      -0.60266603574982158       -1.0629630287216987       -1.5669228255052321     
 -0.79305756160265672      -0.60914670152997485       -1.1530658884480987       -1.5420957915675531     
 -0.78163755408128210      -0.62373290281163685       -1.2328122279682696       -1.5161685663991979     
 -0.76363687153076443      -0.64564597763689879       -1.3000789259665564       -1.4895831330179774     
 -0.73912828054470348      -0.67356468501475808       -1.3530403462370526       -1.4629391054245868     
 -0.70859566259054596      -0.70561475817748098       -1.3904993429830705       -1.4370567385608397     
 -0.67302959495327874      -0.73961555170035842       -1.4122107187344939       -1.4131222452421077     
 -0.63372458749735994      -0.77355875484755587       -1.4189641110137556       -1.3927508823069930     
 -0.59190331441174870      -0.80600897413638428       -1.4122992552829370       -1.3778048294921903     
 -0.54846753719061747      -0.83617184875362716       -1.3940290930279358       -1.3700497891950481     
 -0.50399253761051399      -0.86370800739191633       -1.3658405125086630       -1.3708747138740747     
 -0.45886096954508238      -0.88850808135218839       -1.3290775229015213       -1.3811774941072732     
 -0.41341112428534244      -0.91054447574905928       -1.2846670652960950       -1.4013734533506959     
 -0.36804525504302710      -0.92980787813414079       -1.2331212883504716       -1.4314486426230899     
 -0.32329155059499110      -0.94629940997228057       -1.1745749558143939       -1.4710055791737280     
 -0.27982754376547553      -0.96005028292802497       -1.1088416069385170       -1.5192780389106162     
 -0.23847233528759681      -0.97114929094474456       -1.0354867869705187       -1.5751095245765385     
 -0.20015154369463936      -0.97976495117791029      -0.95392355671726614       -1.6369009739188776     
 -0.16583542295362297      -0.98615344267197735      -0.86353659378188896       -1.7025423567576623     
 -0.13644642587575767      -0.99064745134973797      -0.76383633074339263       -1.7693527276065384     
 -0.11272621360876452      -0.99362608699924504      -0.65463290700871479       -1.8340647436829629     
 -9.50453798100651254E-002 -0.99547294075567949      -0.53620251953639797       -1.8929028143772793     
 -8.31454593252018842E-002 -0.99653742157211600      -0.40940334359191360       -1.9418182226856311     
 -7.58578650705153679E-002 -0.99711864103873993      -0.27570052000292167       -1.9769466429194615     
 -7.09749312167591850E-002 -0.99747809957852018      -0.13709339955778971       -1.9952898794970757     
 -6.55331017470476146E-002 -0.99785039588878810       4.02155135715301371E-003  -1.9954285383074932     
 -5.65281100359331448E-002 -0.99840100800017495       0.14503205189138915       -1.9778771440667111     
 -4.16391215797938669E-002 -0.99913271568599094       0.28335538873065624       -1.9448486182000972     
 -1.95369745669682245E-002 -0.99980913509767932       0.41672736188251946       -1.8996276883306566     
  1.02098497046617838E-002 -0.99994787812615926       0.54343759999481900       -1.8459196071576309     
  4.73803135562976679E-002 -0.99887692229188418       0.66242597274765125       -1.7873684169257029     
  9.13294777934622326E-002 -0.99582073009451533       0.77323179673353282       -1.7272639797210017     
  0.14116070637373199      -0.98998669434294373       0.87584299905525043       -1.6683980215038541     
  0.19585299271061940      -0.98063326745847967       0.97050307256492152       -1.6130233794793138     
  0.25435778051667424      -0.96711018994250675        1.0575183019791088       -1.5628728748802176     
  0.31566956586573997      -0.94886918233554995        1.1370860200093729       -1.5191980426101295     
  0.37886502035095321      -0.92545194167740108        1.2091473267729571       -1.4827950062637989     
  0.44309763881664710      -0.89647335848596876        1.2732594807682076       -1.4539958389005188     
  0.50752823085674359      -0.86163512862662694        1.3284876109323602       -1.4326217276513842     
  0.57117258685488226      -0.82082999215763430        1.3733403879971640       -1.4179286597248604     
  0.63268538584525635      -0.77440893753742224        1.4058313245435068       -1.4086370963843797     
  0.69022230909256177      -0.72359737702048932        1.4238137089576219       -1.4031881789329499     
  0.74166741485103493      -0.67076780315410400        1.4256607623395454       -1.4002560488383382     
  0.78531801482039676      -0.61909257433646470        1.4109747982338572       -1.3991910228471141     
  0.82051130026203056      -0.57163030547925986        1.3807376481128111       -1.3999698730321906     
  0.84761981517934082      -0.53060404155579155        1.3368226692354490       -1.4027740751979467     
  0.86757378928655360      -0.49730847584067045        1.2813932184000369       -1.4076674600266841     
  0.88139423559181229      -0.47238141524146027        1.2165561209660161       -1.4145419698139858     
  0.88993530697843271      -0.45608677835824474        1.1442470111832057       -1.4232090855689017     
  0.89378953109651238      -0.44848664874472732        1.0662116812157982       -1.4335097967713319     
  0.89327242096957560      -0.44951571934155232       0.98400062629581297       -1.4453914107600547     
  0.88843763672889953      -0.45899734818794746       0.89895132627334684       -1.4589420778266224     
  0.87910335279349527      -0.47663119401402526       0.81216103178613441       -1.4743880409753214     
  0.86488437051472600      -0.50197114024547884       0.72446206935247048       -1.4920628417238302     
  0.84522864141140774      -0.53440485003209492       0.63641161393347656       -1.5123595775298870     
  0.81945637634492863      -0.57314155953624468       0.54830334399938851       -1.5356778097885759     
  0.78679770896724277      -0.61721095677563753       0.46020220305024789       -1.5623751623583617     
  0.74642250282595068      -0.66547234899358787       0.37199784596369573       -1.5927296899370731     
  0.69745406433205182      -0.71662949154127209       0.28346887189921982       -1.6269131069306468     
  0.63895733753568695      -0.76924217305690290       0.19434936518117824       -1.6649674383692152     
  0.56989130615574046      -0.82172008565453969       0.10439145276670508       -1.7067680428267975     
  0.48901495882154439      -0.87227539805313969       1.34222150422018127E-002  -1.7519409834118238     
  0.39474016775042498      -0.91879279490229260      -7.85986040637818850E-002  -1.7996732675530480     
  0.28495464429272088      -0.95854100105108120      -0.17149562739063368       -1.8482899260182271     
  0.15699098029380421      -0.98760003650586725      -0.26469385861296968       -1.8943425008452013     
  8.56109933124505479E-003 -0.99996335311762330      -0.35671724722544901       -1.9308616985543352     
 -0.15785173474993600      -0.98746282453388379      -0.44404346691676377       -1.9456351954773121     
